Time,latitude-deg,longitude-deg,altitude-ft,BaroA,OAT,airspeed-kt,GndSpd,vertical-speed-fps,pitch-deg,roll-deg,heading-deg,volt,amp,FQtyL,FQtyR,E1FFlow,E1OilT,E1OilP,E1RPM,E1EGT1,CRS,NAV1,NAV2,COM1,COM2,WndSpd,WndDr
472.025,63.99183623,-22.60542632,146.2295052,30.14575,14.7102901,0,0,-0,4.952349898,0.1047643847,180.0133204,,0,5.375,5.375,0,59.27,0,0,59.27,326,112,112.4,118.3,128.3,3.024262852,270.0808762
472.025,63.99183623,-22.60542632,146.2295052,30.14575,14.7102901,0,0,-0,4.952349898,0.1047643847,180.0133204,,0,5.375,5.375,0,59.27,0,0,59.27,326,112,112.4,118.3,128.3,3.024262852,270.0808762
472.025,63.99183623,-22.60542632,146.2295052,30.14575,14.7102901,0,0,-0,4.952349898,0.1047643847,180.0133204,,0,5.375,5.375,0,59.27,0,0,59.27,326,112,112.4,118.3,128.3,3.024262852,270.0808762
472.025,63.99183623,-22.60542632,146.2295052,30.14575,14.7102901,0,0,-0,4.952349898,0.1047643847,180.0133204,,0,5.375,5.375,0,59.27,0,0,59.27,326,112,112.4,118.3,128.3,3.024262852,270.0808762
472.025,63.99183623,-22.60542632,146.2295052,30.14575,14.7102901,0,0,-0,4.952349898,0.1047643847,180.0133204,,0,5.375,5.375,0,59.27,0,0,59.27,326,112,112.4,118.3,128.3,3.024262852,270.0808762
472.025,63.99183623,-22.60542632,146.2295052,30.14575,14.7102901,0,0,-0,4.952349898,0.1047643847,180.0133204,,0,5.375,5.375,0,59.27,0,0,59.27,326,112,112.4,118.3,128.3,3.024262852,270.0808762
472.025,63.99183623,-22.60542632,146.2295052,30.14575,14.7102901,0,0,-0,4.952349898,0.1047643847,180.0133204,,0,5.375,5.375,0,59.27,0,0,59.27,326,112,112.4,118.3,128.3,3.024262852,270.0808762
472.025,63.99183623,-22.60542632,146.2295052,30.14575,14.7102901,0,0,-0,4.952349898,0.1047643847,180.0133204,,0,5.375,5.375,0,59.27,0,0,59.27,326,112,112.4,118.3,128.3,3.024262852,270.0808762
472.025,63.99183623,-22.60542632,146.2295052,30.14575,14.7102901,0,0,-0,4.952349898,0.1047643847,180.0133204,,0,5.375,5.375,0,59.27,0,0,59.27,326,112,112.4,118.3,128.3,3.024262852,270.0808762
472.025,63.99183623,-22.60542632,146.2295052,30.14575,14.7102901,0,0,-0,4.952349898,0.1047643847,180.0133204,,0,5.375,5.375,0,59.27,0,0,59.27,326,112,112.4,118.3,128.3,3.024262852,270.0808762
472.658,63.99183624,-22.60542632,146.2292051,30.14575,14.81586737,3.012544395,0.0002795786829,-3.184855778e-05,4.980806149,0.09277952328,180.0123921,0,0,5.370708749,5.370708749,0,59.26965199,0,0,59.26482415,326,112,112.4,118.3,128.3,2.84255939,266.3017363
472.658,63.99183624,-22.60542632,146.2292051,30.14575,14.81586737,3.012544395,0.0002795786829,-3.184855778e-05,4.980806149,0.09277952328,180.0123921,0,0,5.370708749,5.370708749,0,59.26965199,0,0,59.26482415,326,112,112.4,118.3,128.3,2.84255939,266.3017363
472.658,63.99183624,-22.60542632,146.2292051,30.14575,14.81586737,3.012544395,0.0002795786829,-3.184855778e-05,4.980806149,0.09277952328,180.0123921,0,0,5.370708749,5.370708749,0,59.26965199,0,0,59.26482415,326,112,112.4,118.3,128.3,2.84255939,266.3017363
472.658,63.99183624,-22.60542632,146.2292051,30.14575,14.81586737,3.012544395,0.0002795786829,-3.184855778e-05,4.980806149,0.09277952328,180.0123921,0,0,5.370708749,5.370708749,0,59.26965199,0,0,59.26482415,326,112,112.4,118.3,128.3,2.84255939,266.3017363
472.658,63.99183624,-22.60542632,146.2292051,30.14575,14.81586737,3.012544395,0.0002795786829,-3.184855778e-05,4.980806149,0.09277952328,180.0123921,0,0,5.370708749,5.370708749,0,59.26965199,0,0,59.26482415,326,112,112.4,118.3,128.3,2.84255939,266.3017363
472.658,63.99183624,-22.60542632,146.2292051,30.14575,14.81586737,3.012544395,0.0002795786829,-3.184855778e-05,4.980806149,0.09277952328,180.0123921,0,0,5.370708749,5.370708749,0,59.26965199,0,0,59.26482415,326,112,112.4,118.3,128.3,2.84255939,266.3017363
