Time,aileron,elevator,rudder,flaps,throttle0,throttle1,vsi-fpm,alt-ft,ai-pitch,ai-roll,ai-offset,hi-heading,roll,pitch,heading,airspeed,speed-north,speed-east,speed-down,uBody-fps,wBody-fps,north-accel-fps_sec,east-accel-fps_sec,down-accel-fps_sec,x-accel-fps_sec,y-accel-fps_sec,z-accel-fps_sec,latitude,longitude,altitude,crashed
36.025,0.1,0,0,1,1,0,-8.896680914,142.1478913,4.807612127,0.114221832,,176.1724914,0.114429876,4.807395787,163.2268976,24.86985163,-35.89977716,10.21209133,-0.262903694,37.21019832,2.864463941,0,0,0,7.899478966,-2.772485161,-31.70142989,63.9914663,-22.60531112,146.8399974,0
37,0.1,0,0,1,1,0,12.74602663,142.3204823,4.747328431,0.140404095,,171.1104316,0.140500708,4.74702426,158.1613976,28.12050007,-40.0526358,15.05490967,-0.29800095,42.65652295,3.240948765,0,0,0,7.7950732,-3.534553148,-31.70894945,63.99135704,-22.60522925,147.029442,0
38.0167,0.1,0,0,1,1,0,21.40753576,142.4290651,4.679791929,0.157961428,,165.6966263,0.158019113,4.679464647,152.7438731,31.1463916,-43.20226612,20.6891164,-0.32329537,47.74718775,3.580072206,0,0,0,7.650497507,-4.291986063,-31.7187876,63.99124199,-22.60511766,147.2313048,0
39.025,0.15,0,0,1,1,0,17.60961355,142.543864,4.608483807,0.19458202,,159.6872937,0.194797656,4.608149096,146.7295417,34.04431326,-45.29093711,27.20320893,-0.342242048,52.6476196,3.892942821,0,0,0,7.490089403,-5.157657032,-31.7252894,63.99111964,-22.60496789,147.4488094,0
40.0083,0.15,0,0,1,1,0,17.74999573,142.6452637,4.550895355,0.22715071,,152.8261664,0.225962908,4.549830212,139.8610497,36.6737715,-45.88921147,34.40716693,-0.355487549,57.10964488,4.175032429,0,0,0,7.335903024,-6.359863831,-31.71003818,63.99099764,-22.60478145,147.6705265,0
41.025,0.15,0,0,1,1,0,-19.16481865,142.5997474,4.136562337,-0.029397643,,144.5691848,-0.029292888,4.136320729,131.5988834,38.87477565,-44.74214819,41.76847717,-0.287662844,60.8017776,4.11158256,0,0,0,6.073209014,-6.046715892,-30.30651999,63.99086901,-22.60453557,147.804899,0
42.0083,0.15,0,0,1,1,0,-12.47912112,142.5260734,4.043648066,-0.022878323,,136.2846835,-0.023135732,4.042391963,123.3152976,40.47515608,-41.80502558,48.585778,-0.288009335,63.42463884,4.196844311,0,0,0,5.836496762,-7.566182876,-33.6241523,63.99075219,-22.60425904,147.9839933,0
43.0167,0.15,0,0,1,1,0,-18.39984414,142.4371759,3.970643617,-0.09223735,,128.4020936,-0.092885661,3.970344598,115.4395003,41.93568776,-37.53025951,55.27359262,-0.297969245,65.89779303,4.291509357,0,0,0,5.861094133,-8.968460769,-35.66051987,63.99064248,-22.60393273,148.1649479,0
44.0083,0.15,-0.15,0,1,1,0,24.8218612,142.4875203,4.219472839,-0.171556151,,123.307025,-0.172441861,4.223265367,110.3782241,43.38144259,-32.91613374,61.24814333,-0.240997278,68.70753291,4.860618605,0,0,0,5.984772875,-6.719857823,-34.45784179,63.99054614,-22.60356959,148.3052639,0
45.025,0.15,-0.15,0,1,1,0,22.94011,142.894339,4.485503504,-0.196070015,,124.7424133,-0.197473297,4.486258319,111.844978,45.27012762,-30.32598415,66.3424277,-0.243706398,72.65865948,5.468272897,0,0,0,6.506088404,-2.462121804,-32.96834583,63.99045983,-22.60316847,148.4525703,0
46.0083,0.15,-0.15,0,1,1,0,16.51475356,143.0807897,4.54178456,-0.266965974,,126.3003714,-0.267927181,4.542438188,113.3830518,47.55994964,-30.87954147,70.4454349,-0.228958684,76.6917959,5.86499266,0,0,0,6.626121956,-0.835536627,-30.72329752,63.99037796,-22.60274947,148.6037698,0
47.0083,0.15,-0.2,0,1,1,0,20.14164826,143.2036056,5.632981732,-0.635964029,,124.5438897,-0.647287539,5.651378338,111.6122296,49.96408804,-31.82916738,74.55574118,-0.73827244,80.71654706,7.269141545,0,0,0,7.171730703,-0.840042379,-33.93226015,63.99029138,-22.60229429,148.8928977,0
48.0083,0.15,-0.2,0,1,1,0,238.7130453,145.4552285,8.938536551,-4.252252276,,122.6266229,-4.269941467,8.953550839,109.7011478,51.54803337,-30.73378602,77.85028601,-5.595211716,83.50548422,7.671864368,0,0,0,7.151286579,-0.738076448,-36.49108351,63.99020586,-22.60182309,151.8247642,0
49.0167,0.15,-0.2,0,1,1,0,472.0040253,152.4520254,12.30708726,-7.203756925,,120.9424989,-7.215128693,12.32355532,108.0124127,51.60659457,-26.6976777,79.19280273,-10.11368164,83.80008844,8.005413483,0,0,0,6.356686902,-0.483549773,-36.04012208,63.99012678,-22.60133304,159.6436263,0
50.0083,0.15,-0.2,0,1,1,0,665.0836793,163.3139565,15.19839059,-9.502942663,,117.7222301,-9.515503971,15.20956966,104.7791602,50.31447273,-20.80143773,78.43921747,-13.31689643,81.80168621,8.340466995,0,0,0,5.991220735,-0.373196938,-34.66907116,63.99006143,-22.60084145,171.4196261,0
51.0083,0.15,-0.2,0,0,1,0,786.834145,176.3550435,16.72918119,-12.71319874,,112.679485,-12.73183693,16.73243382,99.72668798,48.33312844,-13.64870514,76.66779291,-14.3305981,78.70032046,8.59190891,0,0,0,6.264668303,-0.393567906,-32.24988423,63.99001433,-22.60036254,185.3009869,0
52.0083,0.15,-0.2,0,0,1,0,798.6348077,189.5985001,16.35243084,-16.95095077,,106.3642509,-16.97235713,16.34573414,93.40500244,46.49438991,-5.226428651,75.27052324,-12.44864427,75.90197778,9.101483488,0,0,0,6.782373581,-0.334868454,-29.46909911,63.98998793,-22.59988601,199.0393733,0
53.2833,0.35,-0.2,0,0,1,0,690.771937,198.0483215,14.44656546,-19.42207626,,100.5514415,-19.4249284,14.42925706,87.58208167,45.70470229,2.053538853,74.98699936,-8.886419587,74.85521644,9.880182455,0,0,0,7.225578301,-0.220754559,-27.47091248,63.9899843,-22.59951593,207.6019569,0
54.0083,0.35,-0.2,0,0,1,0,319.4336392,204.6950645,8.636879422,-18.66847171,,88.86486183,-18.66987637,8.610077109,75.88514438,46.22520231,13.49598638,75.93846355,-1.425733455,76.2833806,11.31491895,0,0,0,7.588243922,-1.154148065,-26.43673707,63.99000951,-22.59894881,214.0319833,0
55.0083,0.35,-0.3,0,0,1,0,-196.2874902,203.5061637,5.19250306,-19.46414374,,79.49798095,-19.46820698,5.185052553,66.52677083,48.21092391,24.70906889,77.25427842,4.472280742,79.96891988,13.77787917,0,0,0,8.194218029,-1.488466114,-29.39299847,63.99006104,-22.59847132,212.3543838,0
56.025,0.45,-0.3,0,0,1,0,-373.2117875,197.9321513,3.935799885,-18.03022273,,71.44500362,-18.01004718,3.931100058,58.4790346,50.81395449,38.08934758,77.30866092,7.090622817,85.12718062,14.77985169,0,0,0,8.481518833,-1.516286018,-32.57403614,63.99014811,-22.59798111,206.3093756,0
57.0083,0.85,-0.3,0,0,1,0,-440.2823149,190.975936,4.281377795,-10.11197203,,63.23155759,-10.0303469,4.290356833,50.25552451,53.34603743,49.97211806,76.30859514,6.694988109,89.86955005,15.05557313,0,0,0,8.273004261,-2.244497848,-34.60661604,63.99026691,-22.5975101,199.371353,0
58.0167,0.8,-0.3,0,0,1,0,-356.3506684,184.5791307,8.751931188,4.951069569,,56.12384173,5.005575375,8.77902887,43.19535044,55.12472967,56.36202947,76.18944531,3.128151404,91.67023645,15.77589287,0,0,0,8.163370019,-4.655205518,-35.79268451,63.99041491,-22.59703168,194.2818486,0
59.0083,-0.2,-0.3,0,0,1,0,213.8831222,184.6706302,11.83744602,-1.467509586,,62.22142229,-1.562420196,11.84058726,49.39132458,55.68486049,57.74429534,76.46299359,-2.858684341,94.18546237,16.98063696,0,0,0,8.660457832,-1.886549773,-37.71195359,63.9905697,-22.59655957,194.0752849,0
60.0167,0.1,-0.3,0,0,1,0,346.5240824,189.7531272,16.13459886,-7.988472771,,72.28564907,-7.950409735,16.16105337,59.3800398,55.59651184,60.79902354,73.76039602,-8.541205788,93.08828793,15.86913896,0,0,0,8.621970006,2.555725559,-37.75109486,63.99073362,-22.59608747,199.9640122,0
61.0167,0.05,-0.3,0,0,1,0,682.6280041,200.7739988,19.65279645,-3.512085943,,65.53635094,-3.528699523,19.66732334,52.54725592,54.13046945,60.21125032,70.14507525,-14.72065184,91.86973035,16.85323155,0,0,0,8.946580948,-0.231459342,-36.4507292,63.99090061,-22.59563513,211.9755775,0
62.0083,0.05,-0.3,0,0,1,0,902.4336709,216.0057124,21.79353935,-13.35687138,,56.13336288,-13.41129375,21.7982337,43.17388301,51.84885009,61.27442364,63.42848999,-18.22123088,88.55289924,16.36524887,0,0,0,8.850909467,-0.987719578,-34.12581949,63.99106291,-22.59522353,228.5882901,0
63.0167,0.05,-0.2,0,0,1,0,1123.017668,233.5735044,21.52192292,-22.48585033,,50.79972021,-22.51837813,21.50881358,37.85507091,49.18255744,65.64528588,53.01151315,-17.5240732,84.91281989,14.11408177,0,0,0,8.790075611,-0.072421767,-30.2032007,63.99123729,-22.59485736,247.1879922,0
64.0083,0.15,-0.2,0,0,1,0,975.9385285,248.5102835,17.28720618,-26.90053009,,44.81309708,-26.91148201,17.26606077,31.84207821,47.6314439,71.45989238,43.12341545,-11.56009529,83.12693273,11.76146658,0,0,0,7.710658453,0.508645672,-26.55088045,63.99142441,-22.59455843,262.2748324,0
65.025,0.3,-0.2,0,0,1,0,593.0009431,257.1214608,11.38512188,-27.23354229,,34.00293151,-27.23160098,11.35062614,21.00839872,47.65523192,78.26964894,32.92791693,-4.410526401,84.07976873,12.2333748,0,0,0,7.893889683,-0.052446937,-26.99309064,63.9916305,-22.59431882,270.5705889,0
66.0167,0.35,-0.2,0,0,1,0,-87.2777976,258.7679309,4.393338584,-25.96835284,,21.34246901,-25.96423059,4.362265744,8.347399557,49.20067093,85.59254167,21.62040345,2.682687981,87.36603989,12.33600433,0,0,0,7.56206404,-1.277690497,-28.14396619,63.9918526,-22.59414889,271.6648326,0
67.0083,0.4,-0.2,0,0,1,0,-384.6831399,253.8757248,-0.626024657,-24.53696485,,10.59194346,-24.52463646,-0.642292395,357.6165576,52.01803697,92.91012057,8.020281733,8.987140974,92.59113726,12.16254205,0,0,0,7.333787147,-1.698930983,-30.422614,63.99209683,-22.59405508,265.9626273,0
68.0083,0.4,-0.25,0,0,1,0,-603.8956977,244.118197,-0.61459838,-20.96030803,,1.856162348,-20.93776026,-0.607154418,348.8903636,55.54926027,99.16685594,-7.174833407,11.83736555,98.8108883,14.39084144,0,0,0,7.895043097,-1.664226018,-35.51494709,63.99235991,-22.59405129,255.2875106,0
69.025,0.4,-0.25,0,0,1,0,-620.3814459,233.703061,1.62664848,-15.40676377,,354.4879796,-15.37792354,1.64300794,341.5271991,58.7224681,103.08353,-22.05036293,9.226736297,104.451204,14.90430582,0,0,0,7.768427738,-1.81225579,-38.72432521,63.99263942,-22.59414366,244.5436823,0
70.0083,0.4,-0.25,0,0,1,0,-350.9517412,227.4421947,5.883320293,-9.791465856,,348.3597052,-9.765339167,5.908181335,335.4106423,60.70727818,104.0130366,-33.66885457,2.509667472,107.7553105,15.62416277,0,0,0,7.776813022,-2.214264309,-41.02055951,63.99291856,-22.59431564,238.7278335,0
71.025,0.35,-0.25,0,0,1,0,265.7846291,228.7292821,11.62284272,-5.189058516,,344.6220817,-5.172916807,11.65134799,331.6931825,61.10380578,101.8971651,-41.14933605,-6.939652414,108.3760043,16.28989362,0,0,0,7.834604949,-2.251316764,-41.53732299,63.9932054,-22.59455473,241.107937,0
72.0167,0.25,-0.25,0,0,1,0,773.2781028,239.0070916,17.36617629,-2.531391215,,343.6182759,-2.528504624,17.39268323,330.7025896,59.84551516,97.35128014,-43.86556911,-16.06613569,106.3038515,16.86073492,0,0,0,7.972541608,-1.777929255,-40.20089535,63.99347587,-22.59481916,252.8397215,0
73.0167,0.2,-0.2,0,0,1,0,1046.290314,257.2997932,20.68024947,-1.445453343,,343.4776157,-1.445394191,20.69460949,330.5576938,57.33471255,91.38541965,-43.74626484,-22.1158869,102.3795262,15.20104515,0,0,0,7.464601056,-1.312177353,-35.27705713,63.99373369,-22.59509277,272.6511249,0
74.0083,0.2,-0.15,0,0,1,0,1248.870322,279.3951359,21.78377106,-2.048150408,,342.4258683,-2.052958132,21.7822597,329.499573,54.31810278,85.61018655,-42.89468477,-23.50766696,97.43699848,13.84569443,0,0,0,7.172860884,-1.078917912,-30.40169056,63.99397526,-22.59536229,296.1445529,0
75.0083,0.2,-0.15,0,0,1,0,1301.43705,300.9485656,21.36411771,-3.602425098,,340.4344002,-3.612689021,21.35891069,327.5040716,51.49423671,80.79527956,-42.85195587,-21.14740832,92.60738535,13.93971936,0,0,0,7.275328562,-1.081554517,-28.48274738,63.99420061,-22.59562659,318.6445079,0
76.0083,0.15,-0.15,0,0,1,0,1216.852618,319.7948584,19.46616969,-6.095576786,,337.9661512,-6.110203923,19.45324811,325.0331193,49.13270151,76.51846237,-44.05047902,-17.12070552,88.6320931,13.89835123,0,0,0,7.306108815,-1.162499014,-26.73918129,63.99441538,-22.59589644,338.1428122,0
